number_original,County,equitable_share_2020_21,equitable_share_2021_22_plus,conditional_grant_2020_21,conditional_grant_2021_22_plus,annual_own_source_revenue_2020_21,annual_own_source_revenue_2021_22_plus,total_revenue_2020_21,total_revenue_2021_22_plus,number_x,county,number_of_schools,total_enrolment,average_school_size,place,population,land_area_km_sq,pop_density_per_km_sq,county_ptr,public_enrolment,public_teachers,public_PTR,private_enrolment,private_teachers,private_PTR,overall_public_plus_private_enrolment,public_over_overall_enrolment_as_pct,overall_pri_ptr_county,overall_pri_ptr_enrolment,overall_pri_ptr_teachers,overall_pri_ptr_PTR,txtbk_no,txtbk_county,txtbk_grade_1,txtbk_grade_2,txtbk_grade_3,pupil_textbook_ratio,s_number_elec,county_elec,national_grid,solar,no_power,elec_table_total,no_power_pct,with_power_pct,with_national_grid_pct,complete_dig_SN,complete_dig_county,number_of_pri_schools_by_2016,number_of_schools_w_complete_digital_devices,pct_installed,detailed_digi_SN,detailed_digi_county,installed_learner_digi_devices,installed_learner_digi_devices.1,Installed_digi_content_server_and_wireless_routers,installed_projectors,installed_special_needs_edu_devices,nasmla_number,nasmla_county,mathematics_mean,mathematics_SE,english_mean,english_SE,kiswahili_mean,kiswahili_SE,county_lower,Unnamed: 0.1,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number_y,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower,name_lower,county_pupil_tr,pre_primary_pupil_teacher_ratio,secondary_pupil_teacher_ratio,female_Place_county_or_subcounty,female_total_and_gender,female_number,female_dont_know_number,female_dont_know_number_percent,female_not_stated_number,female_at_school_or_learning_institution_number,female_at_school_or_learning_institution_pct,female_after_completion_number,female_after_completion_pct,female_before_completion_number,female_before_completion_pct,female_never_been_to_school_or_learning_institution_number,female_never_been_to_school_or_learning_institution_pct,public_primary_enrolment_as_pct_of_overall_enrolment,never_been_to_school_over_population_pct,before_completion_over_population_pct,left_school_before_plus_after_completion,left_school_over_left_before_and_after_as_pct,after_completion_over_left_before_and_after_as_pct,never_been_to_school_over_left_before_and_after_pct,population_per_no_of_schools_over_area
32,Lamu,"2,595.30","3,105.65",770.2,579.12,108.43,120,"3,473.93","3,804.77",21,Lamu,137,"32,359",236,Lamu,"143,920","6,253.30",23,Lamu,"28,387",942,30,"3,972",343,12,"32,359",87.72520782,Lamu,"32,359","1,285",25,21,Lamu,0.99,0.97,0.99,0.98,5,Lamu,58,50,0,108,0,100,53.7037037,21,Lamu,93,91,97.85,21,Lamu,"3,171",182,91,91,,21,Lamu,613,15.3,598.5,18.2,611,24.4,lamu,337,Lamu,Lamu,5,,,LAMU,LAMU,"130,991",786,0.6,36,"50,249",38.4,"30,833",23.5,"22,762",17.4,"26,325",20.1,86,LAMU,Male,"69,111",472,0.7,19,"25,969",37.6,"18,933",27.4,"11,830",17.1,"11,888",17.2,lamu,lamu,Lamu,26.3,21.5,LAMU,Female,"61,877",314,0.5,17,"24,278",39.2,"11,899",19.2,"10,932",17.7,"14,437",23.3,87.72520782,18.2914119,15.81573096,"53,595",42.4703797,57.5296203,49.11838791,0.1679930515
33,Machakos,"7,754.25","9,162.30","1,248.05",717.13,"1,296.36","1,682.89","10,298.67","11,562.33",22,Machakos,"1,202","284,390",237,Machakos,"1,421,932","6,042.70",235,Machakos,"238,562","8,179",29,"45,828","2,381",19,"284,390",83.88550934,Machakos,"284,390","10,560",27,22,Machakos,1.03,1.02,1.03,1.03,16,Machakos,818,28,8,854,0.9367681499,99.06323185,95.78454333,22,Machakos,837,835,99.76,22,Machakos,"30,678","1,670",835,835,1,22,Machakos,532.8,23.2,532.8,24,521.5,13.6,machakos,405,Machakos,Machakos,16,,,MACHAKOS,MACHAKOS,"1,327,172","11,638",0.9,199,"505,677",38.1,"519,446",39.1,"203,283",15.3,"86,929",6.5,362,MACHAKOS,Male,"661,982","6,197",0.9,103,"258,981",39.1,"262,961",39.7,"99,048",15,"34,692",5.2,machakos,machakos,Machakos,33.1,27.3,MACHAKOS,Female,"665,162","5,440",0.8,96,"246,686",37.1,"256,474",38.6,"104,232",15.7,"52,234",7.9,83.88550934,6.113442837,14.29625327,"722,729",28.12714033,71.87285967,12.0278832,0.1957687315
37,Makueni,"7,406.10","8,132.78",825.71,753.51,527.53,475,"8,759.33","9,361.30",23,Makueni,"1,041","255,093",245,Makueni,"987,653","8,169.80",121,Makueni,"238,555","8,176",29,"16,538","1,165",14,"255,093",93.51687424,Makueni,"255,093","9,341",27,23,Makueni,0.98,0.98,0.99,0.98,17,Makueni,775,115,15,905,1.657458564,98.34254144,85.63535912,23,Makueni,887,887,100,23,Makueni,"32,313","1,774",887,887,97,23,Makueni,523.6,18.8,512.4,25.1,510.9,15.4,makueni,153,Makueni,Wote,17,Makueni,makueni,MAKUENI,MAKUENI,"921,168","12,357",1.3,144,"395,627",42.9,"276,206",30,"165,325",17.9,"71,509",7.8,392,MAKUENI,Male,"453,946","6,657",1.5,62,"202,949",44.7,"135,938",29.9,"81,353",17.9,"26,987",5.9,makueni,makueni,Makueni,21.5,29.3,MAKUENI,Female,"467,204","5,700",1.2,82,"192,669",41.2,"140,265",30,"83,969",18,"44,519",9.5,93.51687424,7.240295934,16.73917864,"441,531",37.44357701,62.55642299,16.19569181,0.1161294135
41,Mandera,"10,222.95","11,190.38","1,158.45",760.72,143.31,200.04,"11,524.71","12,151.14",24,Mandera,333,"102,503",308,Mandera,"867,457","25,939.80",33,Mandera,"91,053","1,239",73,"11,450",464,25,"102,503",88.82959523,Mandera,"102,503","1,703",60,24,Mandera,0.81,0.87,1.39,0.94,9,Mandera,14,206,62,282,21.9858156,78.0141844,4.964539007,24,Mandera,198,198,100,24,Mandera,"14,090",396,198,198,,24,Mandera,473,22.6,454,8.8,455.7,24.1,mandera,346,Mandera,Mandera,9,Mandera,mandera,MANDERA,MANDERA,"775,085","21,776",2.8,138,"168,647",21.8,"21,483",2.8,"7,222",0.9,"555,819",71.7,161,MANDERA,Male,"391,182","10,871",2.8,73,"90,664",23.2,"14,204",3.6,"4,118",1.1,"271,252",69.3,mandera,mandera,Mandera,85.3,26.1,MANDERA,Female,"383,873","10,902",2.8,65,"77,980",20.3,"7,279",1.9,"3,104",0.8,"284,543",74.1,88.82959523,64.0745305,0.8325484721,"28,705",25.1593799,74.8406201,1936.314231,0.1004239037
42,Marsabit,"6,773.10","7,277.00",970.97,906.61,110.37,170,"7,854.44","8,353.62",25,Marsabit,247,"64,787",262,Marsabit,"459,785","70,944.10",6,Marsabit,"50,937","1,245",41,"13,850",566,24,"64,787",78.62225446,Marsabit,"64,787","1,811",36,25,Marsabit,0.8,0.82,0.81,0.81,10,Marsabit,48,125,9,182,4.945054945,95.05494505,26.37362637,25,Marsabit,182,154,84.62,25,Marsabit,"7,846",308,154,154,25,25,Marsabit,512.7,34.2,479.7,9.4,481.9,7.8,marsabit,350,Marsabit,Marsabit,10,,,MARSABIT,MARSABIT,"409,629","3,335",0.8,216,"108,132",26.4,"25,727",6.3,"12,494",3.1,"259,725",63.4,185,MARSABIT,Male,"215,220","1,773",0.8,110,"55,636",25.9,"16,016",7.4,"7,160",3.3,"134,525",62.5,marsabit,marsabit,Marsabit,53.9,20.1,MARSABIT,Female,"194,392","1,559",0.8,106,"52,492",27,"9,711",5,"5,334",2.7,"125,190",64.4,78.62225446,56.48835869,2.717357026,"38,221",32.68883598,67.31116402,679.5348107,0.02623865456
43,Meru,"8,039.10","9,493.86","1,157.90",931.64,435.93,575,"9,632.93","11,000.50",26,Meru,"1,173","317,333",271,Meru,"1,545,714","7,006.30",221,Meru,"251,141","8,610",29,"66,192","3,500",19,"317,333",79.14115456,Meru,"317,333","12,110",26,26,Meru,1.02,1.01,1.04,1.02,12,Meru,709,7,11,727,1.5130674,98.4869326,97.52407153,26,Meru,714,712,99.72,26,Meru,"37,702","1,424",712,712,52,26,Meru,478.9,20.1,466.7,20.6,467.7,19.7,meru,359,Meru,Meru,12,,,MERU,MERU,"1,436,400","13,999",1,382,"554,475",38.6,"360,142",25.1,"301,441",21,"205,961",14.3,221,MERU,Male,"711,224","8,488",1.2,204,"277,202",39,"179,720",25.3,"153,600",21.6,"92,010",12.9,meru,meru,Meru,23.4,29,MERU,Female,"725,139","5,511",0.8,178,"277,259",38.2,"180,414",24.9,"147,834",20.4,"113,943",15.7,79.14115456,13.32465126,19.50173189,"661,583",45.5635952,54.4364048,31.13154359,0.188079906
44,Migori,"6,773.10","8,005.02",727.2,544.39,288.54,280,"7,788.84","8,829.41",27,Migori,931,"314,160",337,Migori,"1,116,436","2,613.50",427,Migori,"273,679","6,362",43,"3,775","1,872",2,"277,454",98.6394141,Migori,"277,454","8,234",34,27,Migori,0.93,0.93,0.95,0.94,44,Migori,617,2,6,625,0.96,99.04,98.72,27,Migori,601,601,100,27,Migori,"32,733","1,202",601,601,,27,Migori,447.3,25.4,465.8,26.1,449.2,27,migori,519,Migori,Migori,44,,,MIGORI,MIGORI,"1,016,399","9,774",1,211,"522,757",51.4,"171,900",16.9,"197,075",19.4,"114,682",11.3,1064,MIGORI,Male,"486,357","4,923",1,94,"265,417",54.6,"88,443",18.2,"81,365",16.7,"46,115",9.5,migori,migori,Migori,56.5,36.9,MIGORI,Female,"530,012","4,849",0.9,117,"257,326",48.6,"83,455",15.7,"115,706",21.8,"68,559",12.9,98.6394141,10.27215174,17.65215382,"368,975",53.41147774,46.58852226,31.08123857,0.4588403968
45,Mombasa,"7,057.95","7,567.35","2,076.40","1,467.20","3,314.53","4,966.33","12,448.88","14,000.88",28,Mombasa,459,"155,337",338,Mombasa,"1,208,333","5,495","5,495",Mombasa,"75,070","1,538",49,"80,267","2,956",27,"155,337",48.32718541,Mombasa,"155,337","4,494",35,28,Mombasa,1.02,1.04,1.04,1.03,1,Mombasa,93,0,2,95,2.105263158,97.89473684,97.89473684,28,Mombasa,96,94,97.92,28,Mombasa,"5,949",188,94,94,15,28,Mombasa,595.9,37.9,616.5,44,585.7,7.6,mombasa,319,Mombasa,Mombasa City,1,,,MOMBASA,MOMBASA,"1,100,173","8,817",0.8,251,"378,423",34.4,"457,603",41.6,"153,982",14,"101,097",9.2,5,MOMBASA,Male,"552,476","5,043",0.9,135,"189,490",34.3,"243,173",44,"74,382",13.5,"40,253",7.3,mombasa,mombasa,Mombasa,35.3,28.6,MOMBASA,Female,"547,681","3,772",0.7,116,"188,930",34.5,"214,424",39.2,"79,596",14.5,"60,843",11.1,48.32718541,8.366650584,12.74334145,"611,585",25.17753051,74.82246949,16.53032694,0.4790780289
46,Murang'a,"6,298.35","7,180.16",865.83,608.23,627.16,"1,500.00","7,791.35","9,288.38",29,Murang'a,681,"206,420",303,Murang'a,"1,056,640","2,524.20",419,Murang'a,"176,514","5,679",31,"29,906","1,533",20,"206,420",85.51206278,Murang'a,"206,420","7,212",29,29,Murang'a,1.06,1.07,1.06,1.06,21,Murang a,513,1,0,514,0,100,99.80544747,29,Murang a,514,512,99.61,29,Murang a,"20,664",964,482,482,15,29,Murang'a,528.6,26.4,515.1,22,503.6,26.5,murang'a,436,Murang'a,Murang'a,21,Murang'a,murang'a,MURANG'A,MURANG'A,"988,224","4,133",0.4,143,"358,844",36.3,"358,964",36.3,"193,814",19.6,"72,326",7.3,503,MURANG'A,Male,"488,689","2,319",0.5,73,"184,250",37.7,"182,572",37.4,"93,190",19.1,"26,285",5.4,murang'a,murang'a,Murang'a,25.4,25.1,MURANG'A,Female,"499,505","1,814",0.4,70,"174,580",35,"176,382",35.3,"100,619",20.1,"46,040",9.2,85.51206278,6.844904603,18.34248183,"552,778",35.06181505,64.93818495,13.08409524,0.6146900354
47,Nairobi,"15,919.95","19,249.68",869.61,"1,020.09","9,958.04","19,360.74","26,747.60","39,630.51",30,Nairobi,"1,105","414,045",375,Nairobi City,"4,397,073","6,247","6,247",Nairobi,"230,008","4,097",56,"184,037",,,"414,045",55.55144972,Nairobi,"414,045",,,30,Nairobi,0.96,1.01,0.95,0.97,47,Nairobi,300,5,2,307,0.651465798,99.3485342,97.71986971,30,Nairobi,203,201,99.01,30,Nairobi,"16,495",402,201,201,99,30,Nairobi,632,22.4,661.3,23.5,588.3,19.1,nairobi,534,Nairobi,Nairobi City,47,Nairobi City,nairobi city,NAIROBI CITY,NAIROBI CITY,"4,010,447","35,729",0.9,"1,603","1,358,304",33.9,"1,921,640",47.9,"505,807",12.6,"187,364",4.7,1145,NAIROBI CITY,Male,"1,986,852","19,514",1,806,"671,188",33.8,"984,163",49.5,"228,088",11.5,"83,093",4.2,nairobi city,,Nairobi,54,27.7,NAIROBI CITY,Female,"2,023,404","16,211",0.8,794,"687,064",34,"937,410",46.3,"277,670",13.7,"104,255",5.2,55.55144972,4.261107332,11.50326592,"2,427,447",20.83699459,79.16300541,7.718561929,0.6369860067
48,Nakuru,"10,476.15","13,026.12","1,228.94",972.58,"1,628.82","1,712.13","13,333.91","15,710.83",31,Nakuru,"1,136","478,057",421,Nakuru,"2,162,202","7,462.40",290,Nakuru,"376,740","9,230",41,"101,317","4,172",24,"478,057",78.80650215,Nakuru,"478,057","13,402",36,31,Nakuru,0.97,0.98,0.98,0.98,32,Nakuru,680,25,22,727,3.026134801,96.9738652,93.53507565,31,Nakuru,691,689,99.71,31,Nakuru,"43,136","1,378",689,689,23,31,Nakuru,515.5,17.8,532.1,24.2,528.9,16.2,nakuru,466,Nakuru,Nakuru,32,,,NAKURU,NAKURU,"1,981,598","16,450",0.8,319,"843,280",42.6,"652,319",32.9,"322,032",16.3,"147,198",7.4,746,NAKURU,Male,"982,910","9,390",1,164,"429,850",43.7,"330,145",33.6,"150,063",15.3,"63,298",6.4,nakuru,nakuru,Nakuru,31.9,34.9,NAKURU,Female,"998,603","7,058",0.7,155,"413,397",41.4,"322,148",32.3,"171,948",17.2,"83,897",8.4,78.80650215,6.807782067,14.89370558,"974,351",33.05092313,66.94907687,15.1072868,0.2550582696
49,Nandi,"5,348.85","6,990.87",772.17,678.1,261.04,387.11,"6,382.06","8,056.07",32,Nandi,900,"231,836",258,Nandi,"885,711","2,855.80",310,Nandi,"205,865","6,161",33,"25,971","1,582",16,"231,836",88.79768457,Nandi,"231,836","7,743",30,32,Nandi,0.82,0.82,0.82,0.82,29,Nandi,718,0,13,731,1.778385773,98.22161423,98.22161423,32,Nandi,709,709,100,32,Nandi,"28,704","1,418",709,709,,32,Nandi,491.8,27.5,486.6,17.5,503.2,19.3,nandi,453,Nandi,Kapsabet,29,,,NANDI,NANDI,"822,163","7,242",0.9,80,"390,831",47.5,"166,706",20.3,"186,639",22.7,"70,665",8.6,683,NANDI,Male,"408,980","3,921",1,48,"199,523",48.8,"85,080",20.8,"88,754",21.7,"31,654",7.7,nandi,nandi,Nandi,21.9,35.3,NANDI,Female,"413,163","3,321",0.8,32,"191,303",46.3,"81,621",19.8,"97,879",23.7,"39,007",9.4,88.79768457,7.978336049,21.07222333,"353,345",52.82061441,47.17938559,19.99886796,0.3446051311
50,Narok,"8,039.10","8,844.79",785.35,799.26,618.99,"2,374.55","9,443.44","12,018.60",33,Narok,940,"297,685",317,Narok,"1,157,873","17,950.30",65,Narok,"263,224","5,616",47,"34,461","1,252",28,"297,685",88.42366931,Narok,"297,685","6,868",43,33,Narok,0.93,0.94,0.92,0.93,33,Narok,143,518,53,714,7.422969188,92.57703081,20.0280112,33,Narok,616,615,99.84,33,Narok,"34,349","1,230",615,615,,33,Narok,481.9,29,472.2,38.8,480.2,40.6,narok,470,Narok,Narok,33,,,NAROK,NAROK,"1,044,966","10,856",1,185,"481,160",46,"120,221",11.5,"149,044",14.3,"283,500",27.1,782,NAROK,Male,"520,523","6,235",1.2,109,"248,214",47.7,"66,633",12.8,"70,531",13.6,"128,801",24.7,narok,narok,Narok,32,33.5,NAROK,Female,"524,419","4,620",0.9,76,"232,941",44.4,"53,583",10.2,"78,513",15,"154,686",29.5,88.42366931,24.48455055,12.87222346,"269,265",55.35216237,44.64783763,105.2866136,0.06862168249
51,Nyamira,"4,810.80","5,135.34",900.98,716.67,162.86,400,"5,874.65","6,252.01",34,Nyamira,576,"162,596",282,Nyamira,"605,576",,675,Nyamira,"125,642","4,018",31,"36,954","1,581",23,"162,596",77.27250363,Nyamira,"162,596","5,599",29,34,Nyamira,0.95,0.97,0.96,0.96,46,Nyamira,407,0,0,407,0,100,100,34,Nyamira,407,407,100,34,Nyamira,"17,260",814,407,407,,34,Nyamira,520.6,36.5,497.5,28.5,515.8,40.2,nyamira,533,Nyamira,Nyamira,46,,,NYAMIRA,NYAMIRA,"566,741","3,431",0.6,54,"260,426",46,"129,917",22.9,"111,433",19.7,"61,480",10.8,1127,NYAMIRA,Male,"271,344","1,701",0.6,21,"132,577",48.9,"65,482",24.1,"47,174",17.4,"24,389",9,nyamira,nyamira,Nyamira,25.1,25.7,NYAMIRA,Female,"295,385","1,730",0.6,33,"127,840",43.3,"64,433",21.8,"64,258",21.8,"37,091",12.6,77.27250363,10.15231779,18.40115857,"241,350",46.17070644,53.82929356,25.47337891,#DIV/0!
52,Nyandarua,"4,874.10","5,670.44",856.79,912.19,408.72,590,"6,139.61","7,172.63",35,Nyandarua,488,"138,635",284,Nyandarua,"638,289","3,285.70",194,Nyandarua,"116,354","3,778",31,"22,281","1,095",20,"138,635",83.92830093,Nyandarua,"138,635","4,873",28,35,Nyandarua,1,1.01,1.01,1.01,18,Nyandarua,349,1,0,350,0,100,99.71428571,35,Nyandarua,350,344,98.29,35,Nyandarua,"13,358",688,344,344,,35,Nyandarua,540.6,10.6,552.4,19.1,536.7,18.2,nyandarua,420,Nyandarua,Ol Kalou,18,,,NYANDARUA,NYANDARUA,"594,649","1,836",0.3,66,"249,756",42,"199,054",33.5,"105,160",17.7,"38,777",6.5,422,NYANDARUA,Male,"292,917","1,041",0.4,32,"128,283",43.8,"98,748",33.7,"50,160",17.1,"14,653",5,nyandarua,nyandarua,Nyandarua,28.6,31.7,NYANDARUA,Female,"301,715",795,0.3,33,"121,466",40.3,"100,304",33.2,"54,994",18.2,"24,123",8,83.92830093,6.075147778,16.47529567,"304,214",34.56777137,65.43222863,12.74661916,0.3980793323
53,Nyeri,"5,412.15","6,228.73","1,167.74",833.56,886.89,"1,000.00","7,466.78","8,062.29",36,Nyeri,552,"124,881",226,Nyeri,"759,164","3,325.00",228,Nyeri,"101,408","3,719",27,"23,473","1,262",19,"124,881",81.20370593,Nyeri,"124,881","4,981",25,36,Nyeri,0.98,0.99,0.98,0.98,19,Nyeri,391,0,0,391,0,100,100,36,Nyeri,392,390,99.49,36,Nyeri,"11,847",780,389,389,,36,Nyeri,515.7,47.2,546.8,55.6,516.4,40.4,nyeri,427,Nyeri,Nyeri,19,,,NYERI,NYERI,"709,353","4,138",0.6,47,"253,898",35.8,"301,927",42.6,"113,307",16,"36,036",5.1,449,NYERI,Male,"348,266","2,180",0.6,28,"130,417",37.4,"150,457",43.2,"52,289",15,"12,895",3.7,nyeri,nyeri,Nyeri,28.7,24.7,NYERI,Female,"361,061","1,958",0.5,19,"123,475",34.2,"151,460",41.9,"61,009",16.9,"23,140",6.4,81.20370593,4.746800428,14.92523355,"415,234",27.28750536,72.71249464,8.678480086,0.4136231884
54,Samburu,"4,620.90","5,371.35",602.39,624.24,70.38,100,"5,293.67","6,095.58",37,Samburu,188,"56,468",300,Samburu,"310,327","21,065.10",15,Samburu,"53,161","1,313",40,"3,307",116,29,"56,468",94.14358575,Samburu,"56,468","1,429",40,37,Samburu,0.99,0.99,0.99,0.99,25,Samburu,40,115,8,163,4.90797546,95.09202454,24.5398773,37,Samburu,146,112,76.71,37,Samburu,"6,451",224,112,112,,37,Samburu,421.2,5.1,397.6,8,406,8.7,samburu,323,Samburu,Maralal,25,,,SAMBURU,SAMBURU,"180,988",974,0.5,71,"81,251",44.9,"27,830",15.4,"20,089",11.1,"50,773",28.1,41,SAMBURU,Male,"141,072","1,378",1,12,"46,092",32.7,"12,778",9.1,"6,193",4.4,"74,619",52.9,samburu,samburu,Samburu,80.2,25.6,SAMBURU,Female,"138,814",999,0.7,16,"40,515",29.2,"8,482",6.1,"6,141",4.4,"82,661",59.5,94.14358575,16.36112874,6.473494088,"47,919",41.92282811,58.07717189,105.9558839,0.07836067865
58,Siaya,"5,791.95","6,966.51",855.19,693.45,332.88,445.45,"6,980.02","8,105.40",38,Siaya,851,"269,526",317,Siaya,"993,183","2,529.80",393,Siaya,"253,492","6,087",42,"16,034",933,17,"269,526",94.05103775,Siaya,"269,526","7,020",38,38,Siaya,1,1,1,1,41,Siaya,647,9,3,659,0.4552352049,99.5447648,98.17905918,38,Siaya,643,642,99.84,38,Siaya,"31,739","1,284",642,642,51,38,Siaya,431.8,17.8,458.5,18.1,429,22.4,siaya,509,Siaya,Siaya,41,,,SIAYA,SIAYA,"919,461","8,648",0.9,322,"441,450",48,"198,100",21.5,"184,768",20.1,"86,173",9.4,992,SIAYA,Male,"434,630","4,877",1.1,163,"223,195",51.4,"97,782",22.5,"78,383",18,"30,230",7,siaya,siaya,Siaya,45.5,38.1,SIAYA,Female,"484,814","3,771",0.8,159,"218,250",45,"100,315",20.7,"106,377",21.9,"55,942",11.5,94.05103775,8.676447342,18.60362088,"382,868",48.25892997,51.74107003,22.50723487,0.4613319455
59,Taita Taveta,"4,241.10","4,842.17","1,120.24","1,532.98",302.01,376,"5,663.35","6,751.15",39,Taita Taveta,285,"67,177",236,Taita/Taveta,"340,671","17,152.00",20,Taita Taveta,"60,205","1,990",30,"6,972",565,12,"67,177",89.62144782,Taita Taveta,"67,177","2,555",26,39,Taita/Taveta,1,1,1,1,6,Taita/Taveta,200,10,0,210,0,100,95.23809524,39,Taita/Taveta,194,194,100,39,Taita/Taveta,"7,025",388,194,194,71,39,Taita Taveta,488.4,16.6,499.2,19.4,544.4,22.9,taita taveta,338,Taita-Taveta,Voi,6,,,TAITA/TAVETA,TAITA/TAVETA,"312,593","1,286",0.4,69,"116,381",37.2,"118,731",38,"47,998",15.4,"28,128",9,95,TAITA/TAVETA,Male,"158,230",744,0.5,34,"59,272",37.5,"63,137",39.9,"23,804",15,"11,239",7.1,taita/taveta,,Taita Taveta,22.5,28.1,TAITA/TAVETA,Female,"154,357",542,0.4,35,"57,108",37,"55,594",36,"24,190",15.7,"16,888",10.9,89.62144782,8.256646442,14.08925327,"166,729",28.78803328,71.21196672,16.87049044,0.06969081402
60,Tana River,"5,855.25","6,528.41",919.77,696.86,83.08,79.86,"6,858.10","7,305.13",40,Tana River,213,"59,674",280,Tana River,"315,943","37,950.50",8,Tana River,"53,083","1,375",39,"6,591",262,25,"59,674",88.95498877,Tana River,"59,674","1,637",36,40,Tana River,0.96,0.94,0.94,0.95,4,Tana River,47,121,10,178,5.617977528,94.38202247,26.40449438,40,Tana River,159,159,100,40,Tana River,"8,060",318,159,159,60,40,Tana River,476.4,40.3,487.9,42.4,539.8,27.8,tana river,331,Tana River,Hola,4,,,TANA RIVER,TANA RIVER,"284,605","1,445",0.5,126,"95,997",33.7,"32,815",11.5,"29,062",10.2,"125,160",44,74,TANA RIVER,Male,"142,087",835,0.6,57,"50,470",35.5,"19,351",13.6,"14,502",10.2,"56,872",40,tana river,tana river,Tana River,46.4,26.4,TANA RIVER,Female,"142,516",609,0.4,69,"45,527",31.9,"13,464",9.4,"14,560",10.2,"68,287",47.9,88.95498877,39.61474063,9.198494665,"61,877",46.96737075,53.03262925,202.2722498,0.03908513641
64,Tharaka,"3,924.60","4,214.20",855.91,829.59,254.75,350,"5,035.26","5,393.79",41,Tharaka Nithi,538,"98,983",184,Tharaka,"393,177","2,564.40",153,Tharaka Nithi,"88,591","3,852",23,"10,392",776,13,"98,983",89.50122748,Tharaka Nithi,"98,983","4,628",21,41,Tharaka-Nithi,1,0.99,0.98,0.99,13,Tharaka-Nithi,353,71,2,426,0.4694835681,99.53051643,82.86384977,41,Tharaka-Nithi,413,411,99.52,41,Tharaka-Nithi,"12,001",822,411,411,,41,Tharaka Nithi,558.4,8.4,579.6,9.8,566.5,15,tharaka nithi,390,Tharaka-Nithi,Chuka,13,,,THARAKA-NITHI,THARAKA-NITHI,"367,574","3,543",1,71,"144,933",39.4,"96,834",26.3,"82,897",22.6,"39,296",10.7,263,THARAKA-NITHI,Male,"180,692","1,966",1.1,38,"73,509",40.7,"48,177",26.7,"40,913",22.6,"16,089",8.9,tharaka-nithi,tharaka-nithi,Tharaka Nithi,23,26.5,THARAKA-NITHI,Female,"186,875","1,577",0.8,33,"71,422",38.2,"48,655",26,"41,983",22.5,"23,205",12.4,89.50122748,9.994480857,21.08388843,"179,731",46.12281688,53.87718312,21.86378532,0.2849837263
65,Trans Nzoia,"5,760.30","7,186.16",733.14,724.98,340.45,529.5,"6,833.89","8,440.64",42,Trans Nzoia,621,"274,605",442,Trans Nzoia,"990,341","2,495.20",397,Trans Nzoia,"223,571","4,832",46,"51,034","2,461",21,"274,605",81.4154877,Trans Nzoia,"274,605","7,293",38,42,Trans Nzoia,1,1,1,1,26,Trans Nzoia,365,2,10,377,2.652519894,97.34748011,96.81697613,42,Trans Nzoia,352,352,100,42,Trans Nzoia,"27,502",704,352,352,21,42,Trans Nzoia,486.6,33.3,480.3,32.9,498.7,22.9,trans nzoia,448,Trans Nzoia,Kitale,26,,,TRANS NZOIA,TRANS NZOIA,"911,209","9,713",1.1,68,"440,977",48.4,"173,534",19,"193,088",21.2,"93,829",10.3,629,TRANS NZOIA,Male,"448,487","5,518",1.2,32,"224,218",50,"88,354",19.7,"88,076",19.6,"42,289",9.4,trans nzoia,trans nzoia,Trans Nzoia,48,38,TRANS NZOIA,Female,"462,701","4,195",0.9,36,"216,747",46.8,"85,175",18.4,"105,011",22.7,"51,537",11.1,81.4154877,9.474413359,19.49712271,"366,622",52.66677941,47.33322059,25.59284495,0.6391279308
66,Turkana,"10,539.45","12,609.31","1,295.35",939.55,209.83,180,"12,044.63","13,728.85",43,Turkana,469,"162,543",347,Turkana,"926,976","68,232.90",14,Turkana,"151,085","1,882",80,"11,458",461,25,"162,543",92.95078841,Turkana,"162,543","2,343",69,43,Turkana,1.01,1.02,1.03,1.02,23,Turkana,41,379,28,448,6.25,93.75,9.151785714,43,Turkana,358,354,98.88,43,Turkana,"29,664",708,354,354,52,43,Turkana,467.4,20.2,430.3,12.3,425.8,42,turkana,441,Turkana,Lodwar,23,,,TURKANA,TURKANA,"851,797","20,077",2.4,718,"184,015",21.6,"33,028",3.9,"28,982",3.4,"584,977",68.7,575,TURKANA,Male,"439,467","10,795",2.5,361,"98,266",22.4,"21,042",4.8,"14,573",3.3,"294,430",67,turkana,turkana,Turkana,187.7,39.2,TURKANA,Female,"412,311","9,282",2.3,357,"85,746",20.8,"11,986",2.9,"14,409",3.5,"290,531",70.5,92.95078841,63.10594881,3.126510287,"62,010",46.73762296,53.26237704,943.3591356,0.02896688649
